,sentiment,review,review_tokens,review_tokens_fdist,review_tokens_WSW,review_normalized,review_tokens_stemmed
0,negative,jelek filmnya apalagi si ernest gak mutu bgt actingnya film sampah,"['jelek', 'filmnya', 'apalagi', 'si', 'ernest', 'gak', 'mutu', 'bgt', 'actingnya', 'film', 'sampah']",<FreqDist with 11 samples and 11 outcomes>,"['jelek', 'filmnya', 'ernest', 'mutu', 'actingnya', 'film', 'sampah']","['jelek', 'filmnya', 'ernest', 'mutu', 'actingnya', 'film', 'sampah']","['jelek', 'film', 'ernest', 'mutu', 'actingnya', 'film', 'sampah']"
1,negative,film king arthur ini film paling jelek dari seluruh cerita king arthur,"['film', 'king', 'arthur', 'ini', 'film', 'paling', 'jelek', 'dari', 'seluruh', 'cerita', 'king', 'arthur']",<FreqDist with 9 samples and 12 outcomes>,"['film', 'king', 'arthur', 'film', 'jelek', 'cerita', 'king', 'arthur']","['film', 'king', 'arthur', 'film', 'jelek', 'cerita', 'king', 'arthur']","['film', 'king', 'arthur', 'film', 'jelek', 'cerita', 'king', 'arthur']"
2,negative,sepanjang film gwa berkata kasar terus pada bapaknya,"['sepanjang', 'film', 'gwa', 'berkata', 'kasar', 'terus', 'pada', 'bapaknya']",<FreqDist with 8 samples and 8 outcomes>,"['film', 'gwa', 'kasar', 'bapaknya']","['film', 'gwa', 'kasar', 'bapaknya']","['film', 'gwa', 'kasar', 'bapak']"
3,negative,ane ga suka fast and furiousmenurutku kok jelek ya tu film,"['ane', 'ga', 'suka', 'fast', 'and', 'furiousmenurutku', 'kok', 'jelek', 'ya', 'tu', 'film']",<FreqDist with 11 samples and 11 outcomes>,"['ane', 'suka', 'fast', 'furiousmenurutku', 'jelek', 'film']","['ane', 'suka', 'fast', 'furiousmenurutku', 'jelek', 'film']","['ane', 'suka', 'fast', 'furiousmenurutku', 'jelek', 'film']"
4,negative,kan gua ga tau film nya lu bilang perang perangan perangan disebut ama rp yaoi jadi ambigu ,"['kan', 'gua', 'ga', 'tau', 'film', 'nya', 'lu', 'bilang', 'perang', 'perangan', 'perangan', 'disebut', 'ama', 'rp', 'yaoi', 'jadi', 'ambigu']",<FreqDist with 16 samples and 17 outcomes>,"['gua', 'film', 'perang', 'perangan', 'perangan', 'rp', 'yaoi', 'ambigu']","['gua', 'film', 'perang', 'perangan', 'perangan', 'rp', 'yaoi', 'ambigu']","['gua', 'film', 'perang', 'perang', 'perang', 'rp', 'yaoi', 'ambigu']"
5,negative,tolong editingnya yg bagus ya saya sering kecewa dgn film indonesia ditunggu filmnya,"['tolong', 'editingnya', 'yg', 'bagus', 'ya', 'saya', 'sering', 'kecewa', 'dgn', 'film', 'indonesia', 'ditunggu', 'filmnya']",<FreqDist with 13 samples and 13 outcomes>,"['tolong', 'editingnya', 'bagus', 'kecewa', 'film', 'indonesia', 'ditunggu', 'filmnya']","['tolong', 'editingnya', 'bagus', 'kecewa', 'film', 'indonesia', 'ditunggu', 'filmnya']","['tolong', 'editingnya', 'bagus', 'kecewa', 'film', 'indonesia', 'tunggu', 'film']"
6,negative,kecewa dgn salah satu aktornya yg ternyata pendukung penista agama ah saya harus bersabar utk tak menonton film ini,"['kecewa', 'dgn', 'salah', 'satu', 'aktornya', 'yg', 'ternyata', 'pendukung', 'penista', 'agama', 'ah', 'saya', 'harus', 'bersabar', 'utk', 'tak', 'menonton', 'film', 'ini']",<FreqDist with 19 samples and 19 outcomes>,"['kecewa', 'salah', 'aktornya', 'pendukung', 'penista', 'agama', 'bersabar', 'menonton', 'film']","['kecewa', 'salah', 'aktornya', 'pendukung', 'penista', 'agama', 'bersabar', 'menonton', 'film']","['kecewa', 'salah', 'aktor', 'dukung', 'nista', 'agama', 'sabar', 'tonton', 'film']"
7,negative,kecewa parah sama film the guys dear sorry to say this,"['kecewa', 'parah', 'sama', 'film', 'the', 'guys', 'dear', 'sorry', 'to', 'say', 'this']",<FreqDist with 11 samples and 11 outcomes>,"['kecewa', 'parah', 'film', 'dear', 'sorry', 'this']","['kecewa', 'parah', 'film', 'dear', 'sorry', 'this']","['kecewa', 'parah', 'film', 'dear', 'sorry', 'this']"
8,negative,banyak yg kecewa abis nonton film ini,"['banyak', 'yg', 'kecewa', 'abis', 'nonton', 'film', 'ini']",<FreqDist with 7 samples and 7 outcomes>,"['kecewa', 'abis', 'nonton', 'film']","['kecewa', 'abis', 'nonton', 'film']","['kecewa', 'abis', 'nonton', 'film']"
9,negative,adalah film yang paling memgecewakan saya selama hidup yah padahal sy udh berekspektasi tinggi dan suka bgt mesir kuno,"['adalah', 'film', 'yang', 'paling', 'memgecewakan', 'saya', 'selama', 'hidup', 'yah', 'padahal', 'sy', 'udh', 'berekspektasi', 'tinggi', 'dan', 'suka', 'bgt', 'mesir', 'kuno']",<FreqDist with 19 samples and 19 outcomes>,"['film', 'memgecewakan', 'hidup', 'udh', 'berekspektasi', 'suka', 'mesir', 'kuno']","['film', 'memgecewakan', 'hidup', 'udh', 'berekspektasi', 'suka', 'mesir', 'kuno']","['film', 'memgecewakan', 'hidup', 'udh', 'berekspektasi', 'suka', 'mesir', 'kuno']"
