,review,TF_UNIGRAM,IDF_UNIGRAM,TFIDF_UNIGRAM
0,"['cantik', 'pandang', 'alam']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[3.506885556506776, 4.828641396489095, 2.718428196142505]","[1.1689618521689251, 1.6095471321630317, 0.9061427320475017]"
1,"['pandang', 'indah', 'latar', 'telaga', 'warna', 'liat', 'kawah']","[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[2.4772661393256175, 4.605497845174885, 4.828641396489095, 5.5217885770490405, 2.718428196142505, 2.8827312474337816, 2.996059932740785]","[0.35389516276080246, 0.6579282635964122, 0.6898059137841565, 0.7888269395784343, 0.388346885163215, 0.4118187496333974, 0.4280085618201121]"
2,"['pandang', 'indah', 'view', 'telaga', 'warna', 'telaga', 'pengilon', 'kawah', 'sikidang', 'cerah', 'cantik']","[0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.18181818181818182, 0.09090909090909091, 0.09090909090909091]","[4.828641396489095, 6.214935757608986, 2.4772661393256175, 4.605497845174885, 2.718428196142505, 4.828641396489095, 5.5217885770490405, 2.8827312474337816, 3.6499864001474487, 2.996059932740785]","[0.4389673996808268, 0.5649941597826351, 0.22520601266596524, 0.41868162228862593, 0.24712983601295502, 0.4389673996808268, 0.5019807797317309, 0.5241329540788694, 0.3318169454679499, 0.2723690847946168]"
3,"['spot', 'foto', 'pandang', 'danau', 'cantik', 'parkir', 'hrus', 'jalan', 'kaki', 'spot', 'fto', 'sana', 'makna', 'kuliner', 'khas', 'wonosobo', 'tempe', 'kemul']","[0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.1111111111111111, 0.05555555555555555, 0.05555555555555555]","[4.828641396489095, 3.91235066461494, 3.324563999712821, 6.214935757608986, 6.214935757608986, 3.91235066461494, 4.828641396489095, 6.214935757608986, 4.828641396489095, 6.214935757608986, 6.214935757608986, 2.718428196142505, 3.324563999712821, 5.5217885770490405, 3.506885556506776, 6.214935757608986, 5.5217885770490405]","[0.2682578553605053, 0.21735281470082998, 0.1846979999840456, 0.34527420875605475, 0.34527420875605475, 0.21735281470082998, 0.2682578553605053, 0.34527420875605475, 0.2682578553605053, 0.34527420875605475, 0.34527420875605475, 0.1510237886745836, 0.1846979999840456, 0.30676603205828, 0.38965395072297504, 0.34527420875605475, 0.30676603205828]"
4,"['pandang', 'bagus', 'agustus', 'jam', 'pagi', 'jalan', 'menit', 'lewat', 'ladang']","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]","[6.214935757608986, 2.3437347467010947, 3.91235066461494, 5.116323468940876, 6.214935757608986, 6.214935757608986, 4.269025608553672, 4.605497845174885, 2.718428196142505]","[0.6905484175121095, 0.2604149718556772, 0.43470562940165997, 0.568480385437875, 0.6905484175121095, 0.6905484175121095, 0.4743361787281858, 0.5117219827972095, 0.3020475773491672]"
5,"['bagus', 'banget', 'view']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[2.3437347467010947, 4.13549421592915, 3.6499864001474487]","[0.7812449155670316, 1.378498071976383, 1.2166621333824827]"
6,"['salah', 'destinasi', 'wisata', 'dieng', 'dikunjungin', 'orangorang', 'foto', 'manamana', 'panorama', 'indah', 'sejuk', 'warung', 'makan', 'oleholeh', 'beli', 'tiket', 'masuk', 'jiga', 'jangkau', 'lupa', 'harga', 'berapaa']","[0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456]","[6.214935757608986, 6.214935757608986, 5.116323468940876, 2.659587696119572, 6.214935757608986, 3.324563999712821, 4.4231762883809305, 2.4772661393256175, 5.116323468940876, 6.214935757608986, 5.116323468940876, 4.269025608553672, 6.214935757608986, 4.828641396489095, 6.214935757608986, 5.116323468940876, 4.828641396489095, 4.13549421592915, 3.170413319885563, 3.7300291078209855, 5.5217885770490405, 3.03688192726104]","[0.28249707989131756, 0.28249707989131756, 0.23256015767913074, 0.1208903498236169, 0.28249707989131756, 0.15111654544149186, 0.20105346765367865, 0.11260300633298262, 0.23256015767913074, 0.28249707989131756, 0.23256015767913074, 0.19404661857062147, 0.28249707989131756, 0.2194836998404134, 0.28249707989131756, 0.23256015767913074, 0.2194836998404134, 0.18797700981496135, 0.14410969635843468, 0.16954677762822662, 0.25099038986586547, 0.13804008760277456]"
7,"['oke', 'kesini', 'weekend', 'antri', 'dispot', 'spot', 'bayar']","[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[6.214935757608986, 4.13549421592915, 6.214935757608986, 5.116323468940876, 5.5217885770490405, 3.506885556506776, 6.214935757608986]","[0.8878479653727123, 0.5907848879898785, 0.8878479653727123, 0.7309033527058394, 0.7888269395784343, 0.5009836509295393, 0.8878479653727123]"
8,"['spot', 'foto', 'lumayan', 'keren', 'banget', 'tempat', 'kuatin', 'kaki', 'nanjak', 'hihitempatnya', 'bersih', 'tempattempat', 'estetik', 'jadi', 'spot', 'foto']","[0.0625, 0.0625, 0.0625, 0.125, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.125, 0.0625, 0.0625]","[4.13549421592915, 2.9190988916046567, 6.214935757608986, 3.324563999712821, 6.214935757608986, 5.116323468940876, 4.828641396489095, 4.605497845174885, 6.214935757608986, 4.4231762883809305, 5.5217885770490405, 3.506885556506776, 2.996059932740785, 5.5217885770490405]","[0.25846838849557185, 0.18244368072529105, 0.3884334848505616, 0.4155704999641026, 0.3884334848505616, 0.31977021680880474, 0.30179008728056844, 0.28784361532343034, 0.3884334848505616, 0.27644851802380815, 0.34511178606556503, 0.438360694563347, 0.18725374579629905, 0.34511178606556503]"
9,"['lokasi', 'datar', 'dieng', 'prioritas', 'lanskap', 'pandang', 'pesona', 'latar', 'telaga', 'warna', 'karcis', 'parkir', 'murah', 'riah']","[0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142]","[4.4231762883809305, 2.659587696119572, 5.5217885770490405, 6.214935757608986, 4.828641396489095, 4.4231762883809305, 4.4231762883809305, 2.718428196142505, 3.324563999712821, 5.116323468940876, 6.214935757608986, 5.5217885770490405, 2.8827312474337816, 2.996059932740785]","[0.3159411634557807, 0.18997054972282656, 0.39441346978921715, 0.44392398268635613, 0.3449029568920782, 0.3159411634557807, 0.3159411634557807, 0.1941734425816075, 0.23746885712234433, 0.3654516763529197, 0.44392398268635613, 0.39441346978921715, 0.2059093748166987, 0.21400428091005605]"
