,sentiment,review,review_tokens,review_tokens_fdist,review_tokens_WSW,review_normalized,review_tokens_stemmed
0,1,cantik sekali pemandangan alamnya,"['cantik', 'sekali', 'pemandangan', 'alamnya']",<FreqDist with 4 samples and 4 outcomes>,"['cantik', 'pemandangan', 'alamnya']","['cantik', 'pemandangan', 'alamnya']","['cantik', 'pandang', 'alam']"
1,1,pemandangan indah latar belakang telaga warna bisa liat kawah juga kalau dari atas,"['pemandangan', 'indah', 'latar', 'belakang', 'telaga', 'warna', 'bisa', 'liat', 'kawah', 'juga', 'kalau', 'dari', 'atas']",<FreqDist with 13 samples and 13 outcomes>,"['pemandangan', 'indah', 'latar', 'telaga', 'warna', 'liat', 'kawah']","['pemandangan', 'indah', 'latar', 'telaga', 'warna', 'liat', 'kawah']","['pandang', 'indah', 'latar', 'telaga', 'warna', 'liat', 'kawah']"
2,1,pemandangan sangat indah view telaga warna dan telaga pengilon selain itu juga bisa terlihat kawah sikidang kebetulan datang saat sedang cerah jadi sangat cantik sekali,"['pemandangan', 'sangat', 'indah', 'view', 'telaga', 'warna', 'dan', 'telaga', 'pengilon', 'selain', 'itu', 'juga', 'bisa', 'terlihat', 'kawah', 'sikidang', 'kebetulan', 'datang', 'saat', 'sedang', 'cerah', 'jadi', 'sangat', 'cantik', 'sekali']",<FreqDist with 23 samples and 25 outcomes>,"['pemandangan', 'indah', 'view', 'telaga', 'warna', 'telaga', 'pengilon', 'kawah', 'sikidang', 'cerah', 'cantik']","['pemandangan', 'indah', 'view', 'telaga', 'warna', 'telaga', 'pengilon', 'kawah', 'sikidang', 'cerah', 'cantik']","['pandang', 'indah', 'view', 'telaga', 'warna', 'telaga', 'pengilon', 'kawah', 'sikidang', 'cerah', 'cantik']"
3,1,spot foto dengan pemandangan dua danau yg cantik dr parkiran kita hrus berjalan kaki menuju spot fto disana kita juga bs makna kuliner khas wonosobo tempe kemul dll,"['spot', 'foto', 'dengan', 'pemandangan', 'dua', 'danau', 'yg', 'cantik', 'dr', 'parkiran', 'kita', 'hrus', 'berjalan', 'kaki', 'menuju', 'spot', 'fto', 'disana', 'kita', 'juga', 'bs', 'makna', 'kuliner', 'khas', 'wonosobo', 'tempe', 'kemul', 'dll']",<FreqDist with 26 samples and 28 outcomes>,"['spot', 'foto', 'pemandangan', 'danau', 'cantik', 'parkiran', 'hrus', 'berjalan', 'kaki', 'spot', 'fto', 'disana', 'makna', 'kuliner', 'khas', 'wonosobo', 'tempe', 'kemul']","['spot', 'foto', 'pemandangan', 'danau', 'cantik', 'parkiran', 'hrus', 'berjalan', 'kaki', 'spot', 'fto', 'disana', 'makna', 'kuliner', 'khas', 'wonosobo', 'tempe', 'kemul']","['spot', 'foto', 'pandang', 'danau', 'cantik', 'parkir', 'hrus', 'jalan', 'kaki', 'spot', 'fto', 'sana', 'makna', 'kuliner', 'khas', 'wonosobo', 'tempe', 'kemul']"
4,1,pemandangannya bagus datang di bulan agustus sekitar jam pagi jalan naik tdk sampai menit melewati ladang,"['pemandangannya', 'bagus', 'datang', 'di', 'bulan', 'agustus', 'sekitar', 'jam', 'pagi', 'jalan', 'naik', 'tdk', 'sampai', 'menit', 'melewati', 'ladang']",<FreqDist with 16 samples and 16 outcomes>,"['pemandangannya', 'bagus', 'agustus', 'jam', 'pagi', 'jalan', 'menit', 'melewati', 'ladang']","['pemandangannya', 'bagus', 'agustus', 'jam', 'pagi', 'jalan', 'menit', 'melewati', 'ladang']","['pandang', 'bagus', 'agustus', 'jam', 'pagi', 'jalan', 'menit', 'lewat', 'ladang']"
5,1,bagus banget view nya,"['bagus', 'banget', 'view', 'nya']",<FreqDist with 4 samples and 4 outcomes>,"['bagus', 'banget', 'view']","['bagus', 'banget', 'view']","['bagus', 'banget', 'view']"
6,1,salah satu destinasi wisata di dieng yang banyak dikunjungin orangorang seperti di foto yang ada di manamana panorama di tempat ini indah dan sejuk di sini banyak warung makan dan tempat oleholeh juga buat yang mau beli tiket masuknya jiga terjangkau tapi lupa dulu harganya berapaa,"['salah', 'satu', 'destinasi', 'wisata', 'di', 'dieng', 'yang', 'banyak', 'dikunjungin', 'orangorang', 'seperti', 'di', 'foto', 'yang', 'ada', 'di', 'manamana', 'panorama', 'di', 'tempat', 'ini', 'indah', 'dan', 'sejuk', 'di', 'sini', 'banyak', 'warung', 'makan', 'dan', 'tempat', 'oleholeh', 'juga', 'buat', 'yang', 'mau', 'beli', 'tiket', 'masuknya', 'jiga', 'terjangkau', 'tapi', 'lupa', 'dulu', 'harganya', 'berapaa']",<FreqDist with 37 samples and 46 outcomes>,"['salah', 'destinasi', 'wisata', 'dieng', 'dikunjungin', 'orangorang', 'foto', 'manamana', 'panorama', 'indah', 'sejuk', 'warung', 'makan', 'oleholeh', 'beli', 'tiket', 'masuknya', 'jiga', 'terjangkau', 'lupa', 'harganya', 'berapaa']","['salah', 'destinasi', 'wisata', 'dieng', 'dikunjungin', 'orangorang', 'foto', 'manamana', 'panorama', 'indah', 'sejuk', 'warung', 'makan', 'oleholeh', 'beli', 'tiket', 'masuknya', 'jiga', 'terjangkau', 'lupa', 'harganya', 'berapaa']","['salah', 'destinasi', 'wisata', 'dieng', 'dikunjungin', 'orangorang', 'foto', 'manamana', 'panorama', 'indah', 'sejuk', 'warung', 'makan', 'oleholeh', 'beli', 'tiket', 'masuk', 'jiga', 'jangkau', 'lupa', 'harga', 'berapaa']"
7,0,tempat oke tapi kalau kesini jangan weekend soalnya bakal antri dispot ini ada beberapa spot yang berbayar,"['tempat', 'oke', 'tapi', 'kalau', 'kesini', 'jangan', 'weekend', 'soalnya', 'bakal', 'antri', 'dispot', 'ini', 'ada', 'beberapa', 'spot', 'yang', 'berbayar']",<FreqDist with 17 samples and 17 outcomes>,"['oke', 'kesini', 'weekend', 'antri', 'dispot', 'spot', 'berbayar']","['oke', 'kesini', 'weekend', 'antri', 'dispot', 'spot', 'berbayar']","['oke', 'kesini', 'weekend', 'antri', 'dispot', 'spot', 'bayar']"
8,1,spot fotonya lumayan banyak keren banget deh tempatnya kuatin kaki aja buat nanjak hihitempatnya juga bersih banyak tempattempat estetik buat dijadikan spot foto,"['spot', 'fotonya', 'lumayan', 'banyak', 'keren', 'banget', 'deh', 'tempatnya', 'kuatin', 'kaki', 'aja', 'buat', 'nanjak', 'hihitempatnya', 'juga', 'bersih', 'banyak', 'tempattempat', 'estetik', 'buat', 'dijadikan', 'spot', 'foto']",<FreqDist with 20 samples and 23 outcomes>,"['spot', 'fotonya', 'lumayan', 'keren', 'banget', 'tempatnya', 'kuatin', 'kaki', 'nanjak', 'hihitempatnya', 'bersih', 'tempattempat', 'estetik', 'dijadikan', 'spot', 'foto']","['spot', 'fotonya', 'lumayan', 'keren', 'banget', 'tempatnya', 'kuatin', 'kaki', 'nanjak', 'hihitempatnya', 'bersih', 'tempattempat', 'estetik', 'dijadikan', 'spot', 'foto']","['spot', 'foto', 'lumayan', 'keren', 'banget', 'tempat', 'kuatin', 'kaki', 'nanjak', 'hihitempatnya', 'bersih', 'tempattempat', 'estetik', 'jadi', 'spot', 'foto']"
9,1,lokasi di dataran tinggi dieng prioritas adalah lanskap dan pemandangan yang mempesona latar belakang telaga warna karcis masuk dan parkir murah meriah,"['lokasi', 'di', 'dataran', 'tinggi', 'dieng', 'prioritas', 'adalah', 'lanskap', 'dan', 'pemandangan', 'yang', 'mempesona', 'latar', 'belakang', 'telaga', 'warna', 'karcis', 'masuk', 'dan', 'parkir', 'murah', 'meriah']",<FreqDist with 21 samples and 22 outcomes>,"['lokasi', 'dataran', 'dieng', 'prioritas', 'lanskap', 'pemandangan', 'mempesona', 'latar', 'telaga', 'warna', 'karcis', 'parkir', 'murah', 'meriah']","['lokasi', 'dataran', 'dieng', 'prioritas', 'lanskap', 'pemandangan', 'mempesona', 'latar', 'telaga', 'warna', 'karcis', 'parkir', 'murah', 'meriah']","['lokasi', 'datar', 'dieng', 'prioritas', 'lanskap', 'pandang', 'pesona', 'latar', 'telaga', 'warna', 'karcis', 'parkir', 'murah', 'riah']"
